edad,acostumbra_leer,lee_libros,lee_revistas,lee_periodicos,lee_historietas,lee_sitios_web_blogs,formato_libro_digital,formato_libro_impreso,formato_revista_digital,formato_revista_impresa,formato_periodico_digital,formato_periodico_impreso,minutos_lectura_continua,comprension_lectura,motivo_no_leer,libros_en_casa_niñez,anio
38,Sí,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,10,La mayor parte,NA,No,2024
29,No,No,No,No,Sí,No,NA,NA,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
52,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,10,La mayor parte,NA,Sí,2024
39,Sí,Sí,No,Sí,No,No,No,Sí,NA,NA,No,Sí,20,La mayor parte,NA,No,2024
45,No,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,15,La mayor parte,NA,Sí,2024
45,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,No,Sí,240,Toda,NA,Sí,2024
66,Sí,No,No,Sí,No,Sí,NA,NA,NA,NA,Sí,No,20,La mayor parte,NA,No,2024
25,Sí,Sí,No,No,No,Sí,Sí,No,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
23,Sí,No,Sí,No,Sí,Sí,NA,NA,Sí,No,NA,NA,60,La mayor parte,NA,Sí,2024
43,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,20,La mayor parte,NA,Sí,2024
48,Sí,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,15,La mayor parte,NA,No,2024
58,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Problemas de salud,No,2024
52,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,60,Poca,NA,No,2024
44,Sí,No,Sí,No,No,Sí,NA,NA,Sí,No,NA,NA,30,La mayor parte,NA,Sí,2024
26,No,No,Sí,No,No,Sí,NA,NA,No,Sí,NA,NA,60,La mayor parte,NA,Sí,2024
30,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,NA,NA,30,La mitad,NA,No,2024
73,No,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
39,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,40,La mayor parte,NA,Sí,2024
22,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,NA,NA,90,La mayor parte,NA,Sí,2024
67,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de interés/gusto,No,2024
49,Sí,Sí,No,No,No,Sí,Sí,No,NA,NA,NA,NA,45,La mayor parte,NA,Sí,2024
40,Sí,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,30,La mitad,NA,No,2024
41,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
19,No,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,15,La mayor parte,NA,Sí,2024
27,No,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,60,La mayor parte,NA,Sí,2024
31,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,NA,NA,20,La mayor parte,NA,Sí,2024
42,Sí,No,No,Sí,No,Sí,NA,NA,NA,NA,No,Sí,60,Toda,NA,Sí,2024
24,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
36,Sí,No,Sí,No,No,Sí,NA,NA,Sí,No,NA,NA,15,Toda,NA,No,2024
29,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,30,La mayor parte,NA,No,2024
52,Sí,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
39,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,45,La mayor parte,NA,Sí,2024
22,No,No,Sí,No,No,No,NA,NA,No,Sí,NA,NA,15,La mayor parte,NA,Sí,2024
72,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,10,Poca,NA,No,2024
29,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,20,La mitad,NA,Sí,2024
83,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,40,La mayor parte,NA,No,2024
28,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
52,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
62,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de interés/gusto,Sí,2024
32,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,20,La mayor parte,NA,Sí,2024
30,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
35,Sí,No,Sí,No,No,No,NA,NA,No,Sí,NA,NA,10,La mitad,NA,Sí,2024
50,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,NA,NA,60,La mayor parte,NA,Sí,2024
51,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,NA,NA,30,La mayor parte,NA,Sí,2024
56,No,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,40,La mayor parte,NA,Sí,2024
53,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,45,La mayor parte,NA,Sí,2024
46,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,Sí,No,120,Toda,NA,Sí,2024
51,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,60,La mayor parte,NA,No,2024
18,Sí,Sí,No,No,Sí,No,No,Sí,NA,NA,NA,NA,30,Toda,NA,Sí,2024
43,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de interés/gusto,No,2024
25,No,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,20,La mayor parte,NA,Sí,2024
55,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,40,La mayor parte,NA,No,2024
63,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
55,No,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,45,La mayor parte,NA,Sí,2024
21,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,NA,NA,90,La mayor parte,NA,Sí,2024
49,Sí,Sí,No,No,No,No,Sí,No,NA,NA,NA,NA,20,La mitad,NA,No,2024
21,No,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
37,Sí,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,120,La mitad,NA,No,2024
31,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
39,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,NA,NA,120,La mayor parte,NA,Sí,2024
38,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
27,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,60,La mitad,NA,Sí,2024
70,Sí,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,30,La mitad,NA,Sí,2024
60,Sí,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,30,Toda,NA,No,2024
18,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No recuerda,2024
48,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
50,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,60,La mayor parte,NA,No,2024
24,Sí,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,60,La mayor parte,NA,Sí,2024
26,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,60,La mayor parte,NA,Sí,2024
35,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,50,La mayor parte,NA,Sí,2024
55,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,90,La mayor parte,NA,Sí,2024
56,No,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,20,La mayor parte,NA,Sí,2024
35,Sí,No,No,Sí,No,Sí,NA,NA,NA,NA,Sí,No,30,La mayor parte,NA,Sí,2024
40,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,No,Sí,20,Toda,NA,Sí,2024
53,Sí,Sí,No,No,Sí,No,Sí,No,NA,NA,NA,NA,60,Toda,NA,Sí,2024
51,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,20,Toda,NA,Sí,2024
27,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,NA,NA,30,Poca,NA,No,2024
51,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
20,No,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,120,Toda,NA,Sí,2024
28,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
64,Sí,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,60,La mayor parte,NA,No,2024
64,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
60,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,NA,NA,40,La mayor parte,NA,Sí,2024
44,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,40,Toda,NA,Sí,2024
60,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,90,Toda,NA,Sí,2024
58,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Problemas de salud,Sí,2024
34,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,20,La mitad,NA,No,2024
54,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
82,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Problemas de salud,No recuerda,2024
47,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí,NA,NA,20,La mayor parte,NA,Sí,2024
23,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Prefiere otras actividades,Sí,2024
53,Sí,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de interés/gusto,Sí,2024
21,Sí,Sí,No,No,No,Sí,Sí,Sí,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
49,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
40,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de dinero,Sí,2024
23,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de interés/gusto,Sí,2024
29,Sí,No,No,Sí,No,No,NA,NA,NA,NA,No,Sí,30,Toda,NA,Sí,2024
54,Sí,No,Sí,Sí,No,No,NA,NA,No,Sí,No,Sí,60,Toda,NA,No,2024
30,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de interés/gusto,Sí,2024
32,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,No,NA,NA,30,Toda,NA,Sí,2024
53,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,NA,NA,30,La mayor parte,NA,Sí,2024
37,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,No,40,La mayor parte,NA,No,2024
30,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,NA,NA,60,La mayor parte,NA,Sí,2024
40,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
35,No,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,20,La mitad,NA,Sí,2024
36,No,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
23,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,60,La mayor parte,NA,Sí,2024
34,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,20,La mayor parte,NA,Sí,2024
44,No,Sí,No,No,No,Sí,Sí,Sí,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
82,Sí,Sí,No,Sí,No,No,No,Sí,NA,NA,No,Sí,20,La mayor parte,NA,Sí,2024
29,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
45,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
58,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Problemas de salud,No,2024
30,Sí,No,Sí,Sí,No,No,NA,NA,No,Sí,No,Sí,30,La mitad,NA,No,2024
55,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,30,La mitad,NA,No,2024
36,Sí,Sí,No,Sí,No,Sí,No,Sí,NA,NA,No,Sí,25,La mayor parte,NA,Sí,2024
77,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,NA,NA,30,La mitad,NA,Sí,2024
28,No,Sí,No,No,No,Sí,Sí,No,NA,NA,NA,NA,30,La mitad,NA,Sí,2024
49,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,10,Toda,NA,No,2024
40,No,No,Sí,No,No,No,NA,NA,No,Sí,NA,NA,15,La mayor parte,NA,No,2024
39,No,No,Sí,No,No,No,NA,NA,No,Sí,NA,NA,20,La mayor parte,NA,No,2024
20,No,No,Sí,No,No,No,NA,NA,No,Sí,NA,NA,20,La mayor parte,NA,No recuerda,2024
60,Sí,Sí,No,Sí,No,Sí,No,Sí,NA,NA,No,Sí,15,La mayor parte,NA,Sí,2024
68,No,Sí,Sí,No,No,No,No,Sí,No,Sí,NA,NA,10,La mayor parte,NA,No,2024
33,No,No,No,Sí,No,No,NA,NA,NA,NA,No,Sí,10,La mitad,NA,No,2024
18,No,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,30,La mitad,NA,Sí,2024
25,No,No,Sí,Sí,No,No,NA,NA,No,Sí,No,Sí,20,La mitad,NA,No,2024
66,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
58,Sí,No,No,Sí,No,No,NA,NA,NA,NA,No,Sí,60,Toda,NA,Sí,2024
42,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
23,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de interés/gusto,Sí,2024
58,No,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,30,La mayor parte,NA,No,2024
28,Sí,No,Sí,Sí,No,No,NA,NA,No,Sí,No,Sí,20,La mayor parte,NA,No,2024
30,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,NA,NA,60,La mayor parte,NA,Sí,2024
71,Sí,No,No,Sí,No,No,NA,NA,NA,NA,No,Sí,10,La mayor parte,NA,No,2024
30,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,No,NA,NA,30,Toda,NA,Sí,2024
18,Sí,Sí,No,Sí,No,No,Sí,No,NA,NA,No,Sí,30,La mayor parte,NA,Sí,2024
32,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,NA,NA,30,La mayor parte,NA,No,2024
36,Sí,Sí,No,Sí,No,No,No,Sí,NA,NA,No,Sí,35,La mayor parte,NA,Sí,2024
25,Sí,No,Sí,Sí,No,No,NA,NA,No,Sí,No,Sí,25,La mitad,NA,No,2024
34,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,NA,NA,25,La mayor parte,NA,Sí,2024
54,No,No,No,Sí,No,No,NA,NA,NA,NA,No,Sí,20,La mitad,NA,Sí,2024
65,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
60,No,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,20,La mayor parte,NA,No,2024
30,Sí,Sí,No,Sí,No,Sí,No,Sí,NA,NA,No,Sí,20,La mayor parte,NA,Sí,2024
46,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,20,Toda,NA,No,2024
35,Sí,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
22,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
55,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
71,No,Sí,Sí,No,No,No,No,Sí,No,Sí,NA,NA,30,Poca,NA,No,2024
22,No,No,Sí,Sí,Sí,Sí,NA,NA,No,Sí,No,Sí,10,La mayor parte,NA,Sí,2024
46,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,20,Toda,NA,No,2024
34,No,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,15,La mitad,NA,Sí,2024
66,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
60,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
58,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No recuerda,2024
59,Sí,No,Sí,No,No,No,NA,NA,No,Sí,NA,NA,30,La mayor parte,NA,Sí,2024
69,Sí,Sí,Sí,Sí,No,No,No,Sí,No,Sí,No,Sí,30,La mayor parte,NA,No recuerda,2024
26,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,60,La mayor parte,NA,Sí,2024
31,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,60,La mayor parte,NA,Sí,2024
57,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Problemas de salud,No,2024
27,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,20,Toda,NA,Sí,2024
33,Sí,No,Sí,Sí,Sí,Sí,NA,NA,No,Sí,No,Sí,30,La mayor parte,NA,Sí,2024
30,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
70,Sí,No,No,Sí,No,No,NA,NA,NA,NA,No,Sí,20,La mayor parte,NA,Sí,2024
41,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
38,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
24,No,No,No,Sí,No,No,NA,NA,NA,NA,No,Sí,20,Toda,NA,No,2024
61,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,30,Toda,NA,No,2024
24,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,60,La mayor parte,NA,Sí,2024
21,Sí,Sí,Sí,No,No,Sí,Sí,No,No,Sí,NA,NA,60,Toda,NA,Sí,2024
44,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,No,Sí,30,La mayor parte,NA,Sí,2024
45,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
35,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
31,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
22,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,60,La mayor parte,NA,Sí,2024
46,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
32,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,20,La mayor parte,NA,Sí,2024
37,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
35,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,No,60,La mayor parte,NA,Sí,2024
25,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,45,La mayor parte,NA,Sí,2024
71,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No recuerda,2024
45,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,NA,NA,30,La mayor parte,NA,No,2024
24,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,No,Sí,10,Toda,NA,No,2024
57,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
34,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
61,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,30,La mayor parte,NA,Sí,2024
56,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
51,Sí,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,30,La mayor parte,NA,No,2024
22,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
45,No,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,25,La mitad,NA,No,2024
21,Sí,Sí,No,No,No,Sí,No,Sí,NA,NA,NA,NA,30,La mitad,NA,No recuerda,2024
24,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,Sí,2024
69,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Problemas de salud,No,2024
48,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,0,NA,Falta de tiempo,No,2024
47,Sí,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,5,La mayor parte,NA,No,2024
